N,family,M,resource_cost
2,raw,3,4
2,baseline_end_node_pumping,4,20
2,optimizer_budget_relaxed,3,4
2,optimizer_matched_cost,4,20
4,raw,3,8
4,baseline_end_node_pumping,4,40
4,optimizer_budget_relaxed,4,8
4,optimizer_matched_cost,4,40
6,raw,3,12
6,baseline_end_node_pumping,4,60
6,optimizer_budget_relaxed,4,18
6,optimizer_matched_cost,4,60
8,raw,3,16
8,baseline_end_node_pumping,4,80
8,optimizer_budget_relaxed,4,32
8,optimizer_matched_cost,4,80
10,raw,3,20
10,baseline_end_node_pumping,4,100
10,paper_baseline,5,100
10,optimizer_budget_relaxed,4,60
10,optimizer_matched_cost,4,100
14,raw,3,28
14,baseline_end_node_pumping,4,140
14,optimizer_budget_relaxed,4,84
14,optimizer_matched_cost,4,140
18,raw,3,36
18,baseline_end_node_pumping,4,180
18,optimizer_budget_relaxed,5,162
18,optimizer_matched_cost,4,180
