label,role,resource_cost,fidelity,success_prob,rate,pareto_f_vs_c,pareto_f_vs_r
beam.span.((hop0+hop1)+((hop2+hop3)+(hop4+hop5))),other,12,0.8884203757607083,1.0,16666.666666666668,True,True
beam.span.(((hop0+hop1)+(hop2+hop3))+(hop4+hop5)),other,12,0.8884203757607083,1.0,16666.666666666668,True,True
raw,other,12,0.8884203757607076,1.0,16666.666666666668,False,False
beam.span.((hop0+hop1.n2.YY)+((hop2+hop3)+(hop4+hop5))),other,14,0.8939786975510171,0.9738619417283947,16231.032362139911,True,True
beam.span.((hop0+hop1.n2.ZX)+((hop2+hop3)+(hop4+hop5))),other,14,0.8939786975510171,0.9738619417283947,16231.032362139911,True,True
beam.span.((hop0+hop1.n2.XZ)+((hop2+hop3)+(hop4+hop5))),other,14,0.8939786975510171,0.9738619417283947,16231.032362139911,True,True
"beam.span.((hop0+pump[YY](hop1,hop1))+((hop2+hop3)+(hop4+hop5)))",other,14,0.8939786975510171,0.9738619417283947,16231.032362139911,True,True
"beam.span.((hop0+pump[ZX](hop1,hop1))+((hop2+hop3)+(hop4+hop5)))",other,14,0.8939786975510171,0.9738619417283947,16231.032362139911,True,True
"beam.span.((hop0+pump[XZ](hop1,hop1))+((hop2+hop3)+(hop4+hop5)))",other,14,0.8939786975510171,0.9738619417283947,16231.032362139911,True,True
beam.span.((hop0.n2.YY+hop1)+((hop2+hop3)+(hop4+hop5))),other,14,0.8939786975510171,0.9738619417283947,16231.032362139911,True,True
beam.span.((hop0.n2.ZX+hop1)+((hop2+hop3)+(hop4+hop5))),other,14,0.8939786975510171,0.9738619417283947,16231.032362139911,True,True
beam.span.((hop0.n2.XZ+hop1)+((hop2+hop3)+(hop4+hop5))),other,14,0.8939786975510171,0.9738619417283947,16231.032362139911,True,True
"beam.span.((pump[YY](hop0,hop0)+hop1)+((hop2+hop3)+(hop4+hop5)))",other,14,0.8939786975510171,0.9738619417283947,16231.032362139911,True,True
"beam.span.((pump[ZX](hop0,hop0)+hop1)+((hop2+hop3)+(hop4+hop5)))",other,14,0.8939786975510171,0.9738619417283947,16231.032362139911,True,True
end_optimistic.n2.YY,other,24,0.9169427601984703,0.8622938454990602,14371.564091651002,False,True
end_optimistic.n2.ZX,other,24,0.9169427601984703,0.8622938454990602,14371.564091651002,False,True
end_optimistic.n2.XZ,other,24,0.9169427601984703,0.8622938454990602,14371.564091651002,False,True
link.n2.YY,link_level_baseline,24,0.9241545727417048,0.8530694008058601,14217.823346764335,True,True
link.n2.ZX,link_level_baseline,24,0.9241545727417048,0.8530694008058601,14217.823346764335,True,True
link.n2.XZ,link_level_baseline,24,0.9241545727417048,0.8530694008058601,14217.823346764335,True,True
end_optimistic.n3.YY_YY,other,36,0.8884203757607082,0.7934407682485903,13224.012804143173,False,False
end_optimistic.n3.ZX_XZ,other,36,0.8884203757607082,0.7934407682485903,13224.012804143173,False,False
end_optimistic.n3.XZ_ZX,other,36,0.8884203757607082,0.7934407682485903,13224.012804143173,False,False
link.n3.YY_YY,link_level_baseline,36,0.8920303151702713,0.7866449240949713,13110.74873491619,False,False
link.n3.ZX_XZ,link_level_baseline,36,0.8920303151702713,0.7866449240949713,13110.74873491619,False,False
link.n3.XZ_ZX,link_level_baseline,36,0.8920303151702713,0.7866449240949713,13110.74873491619,False,False
end_optimistic.n3.YY_ZX,other,36,0.9499860168479672,0.7395412867219326,12325.68811203221,False,True
end_optimistic.n3.YY_XZ,other,36,0.9499860168479672,0.7395412867219326,12325.68811203221,False,True
end_optimistic.n3.ZX_YY,other,36,0.9499860168479672,0.7395412867219326,12325.68811203221,False,True
end_optimistic.n3.ZX_ZX,other,36,0.9499860168479672,0.7395412867219326,12325.68811203221,False,True
end_optimistic.n3.XZ_YY,other,36,0.9499860168479672,0.7395412867219326,12325.68811203221,False,True
end_optimistic.n3.XZ_XZ,other,36,0.9499860168479672,0.7395412867219326,12325.68811203221,False,True
end_optimistic.n4.YY_YY_YY,other,48,0.8575934775038432,0.7340691834918387,12234.486391530645,False,False
