e_d,variant,label,resource_cost,fidelity,success_prob,rate,latency_ms
0.0,paper_baseline,flexible_paper,100,1.0,1.0,10000.0,0.0001
0.0,optimizer_matched_cost,end_optimistic.n5.XZ_XZ_XZ_XZ,100,1.0,1.0,10000.0,0.0001
0.0,optimizer_budget_relaxed,beam.span.(hop0+(hop1+(hop2+(hop3+(hop4+(hop5+(hop6+(hop7+(hop8+hop9))))))))),20,1.0,1.0,10000.0,0.0001
0.001,paper_baseline,flexible_paper,100,0.9933254821076907,0.9111291286065688,9111.291286065687,0.0001
0.001,optimizer_matched_cost,end_optimistic.n5.YY_YY_YY_YY,100,0.9675245788054853,0.935881768980049,9358.81768980049,0.0001
0.001,optimizer_budget_relaxed,beam.span.(hop0+(hop1+(hop2+(hop3+(hop4+(hop5+(hop6+(hop7+(hop8+hop9))))))))),20,0.9802513181022736,1.0,10000.0,0.0001
0.002,paper_baseline,flexible_paper,100,0.986621604140509,0.8306090585755195,8306.090585755195,0.0001
0.002,optimizer_matched_cost,end_optimistic.n5.YY_YY_YY_YY,100,0.9367296366495953,0.876578431619023,8765.78431619023,0.0001
0.002,optimizer_budget_relaxed,beam.span.((hop0+(hop1+(hop2+(hop3+hop4))))+(hop5+(hop6+(hop7+(hop8+hop9))))),20,0.960997302193501,1.0,10000.0,0.0001
0.003,paper_baseline,flexible_paper,100,0.9798678540175251,0.7576408533709151,7576.408533709151,0.0001
0.003,optimizer_matched_cost,end_optimistic.n5.YY_YY_YY_YY,100,0.9075614890808337,0.8216950134588756,8216.950134588757,0.0001
0.003,optimizer_budget_relaxed,beam.span.(hop0+(hop1+((hop2+(hop3+hop4))+(hop5+(hop6+(hop7+(hop8+hop9))))))),20,0.9422261984510539,1.0,10000.0,0.0001
0.004,paper_baseline,flexible_paper,100,0.9730437685824381,0.6915022137680542,6915.022137680542,0.0001
0.004,optimizer_matched_cost,end_optimistic.n5.XZ_XZ_XZ_XZ,100,0.9709498556600715,0.6940068043156168,6940.068043156168,0.0001
0.004,optimizer_budget_relaxed,beam.span.(hop0+(hop1+((hop2+hop3)+((hop4+hop5)+(hop6+(hop7+(hop8+hop9))))))),20,0.9239265171700839,1.0,10000.0,0.0001
0.005,paper_baseline,flexible_paper,100,0.9661290479741458,0.6315401578790545,6315.401578790545,0.0001
0.005,optimizer_matched_cost,end_optimistic.n5.XZ_XZ_XZ_XZ,100,0.9628720200297707,0.6351733617012458,6351.733617012458,0.0001
0.005,optimizer_budget_relaxed,beam.span.(hop0+(hop1+(hop2+(hop3+(hop4+(hop5+(hop6+(hop7+(hop8+hop9))))))))),20,0.9060870271702891,1.0,10000.0,0.0001
0.006,paper_baseline,flexible_paper,100,0.9591036823571584,0.577164394960212,5771.643949602119,0.0001
0.006,optimizer_matched_cost,end_optimistic.n5.XZ_XZ_XZ_XZ,100,0.954434727282932,0.5820278256095456,5820.278256095456,0.0001
0.006,optimizer_budget_relaxed,beam.span.((hop0.n3.YY_ZX+hop1.n3.YY_ZX)+(hop2+(hop3+((hop4+(hop5+hop6))+(hop7+(hop8+hop9)))))),28,0.9023457537462788,0.9381286190700772,9381.286190700772,0.0001
