param_name,param_value,variant,label,resource_cost,fidelity,rate,meets_floor
gamma,0.0,paper_baseline,flexible_paper,100,0.9295137825781352,4055.923104807098,True
gamma,0.0,optimizer_matched_cost,end_optimistic.n5.XZ_XZ_XZ_XZ,100,0.9167933368902863,4158.139856634852,True
gamma,0.0,optimizer_budget_relaxed,end_optimistic.n3.YY_ZX,60,0.906317288623857,6195.951122376533,True
gamma,1.0,paper_baseline,flexible_paper,100,0.9295137825781352,4055.923104807098,True
gamma,1.0,optimizer_matched_cost,end_optimistic.n5.XZ_XZ_XZ_XZ,100,0.9167933368902863,4158.139856634852,True
gamma,1.0,optimizer_budget_relaxed,end_optimistic.n3.YY_ZX,60,0.906317288623857,6195.951122376533,True
gamma,10.0,paper_baseline,flexible_paper,100,0.9295137825781352,4055.923104807098,True
gamma,10.0,optimizer_matched_cost,end_optimistic.n5.XZ_XZ_XZ_XZ,100,0.9167933368902863,4158.139856634852,True
gamma,10.0,optimizer_budget_relaxed,end_optimistic.n3.YY_ZX,60,0.906317288623857,6195.951122376533,True
gamma,100.0,paper_baseline,flexible_paper,100,0.9295137825781352,4055.923104807098,True
gamma,100.0,optimizer_matched_cost,end_optimistic.n5.XZ_XZ_XZ_XZ,100,0.9167933368902863,4158.139856634852,True
gamma,100.0,optimizer_budget_relaxed,end_optimistic.n3.YY_ZX,60,0.906317288623857,6195.951122376533,True
gamma,1000.0,paper_baseline,flexible_paper,100,0.9295137825781352,4055.923104807098,True
gamma,1000.0,optimizer_matched_cost,end_optimistic.n5.XZ_XZ_XZ_XZ,100,0.9167933368902863,4158.139856634852,True
gamma,1000.0,optimizer_budget_relaxed,end_optimistic.n3.YY_ZX,60,0.906317288623857,6195.951122376533,True
gamma,10000.0,paper_baseline,flexible_paper,100,0.9295137825781352,4055.923104807098,True
gamma,10000.0,optimizer_matched_cost,end_optimistic.n5.XZ_XZ_XZ_XZ,100,0.9167933368902863,4158.139856634852,True
gamma,10000.0,optimizer_budget_relaxed,end_optimistic.n3.YY_ZX,60,0.906317288623857,6195.951122376533,True
gamma,100000.0,paper_baseline,flexible_paper,100,0.9295137825781352,4055.923104807098,True
gamma,100000.0,optimizer_matched_cost,end_optimistic.n5.XZ_XZ_XZ_XZ,100,0.9167933368902863,4158.139856634852,True
gamma,100000.0,optimizer_budget_relaxed,end_optimistic.n3.YY_ZX,60,0.906317288623857,6195.951122376533,True
