e_d,paper_e_max,min_feasible_e_max,ratio_to_paper,best_label,best_fidelity,best_success_prob,best_rate,best_cost,n_beam_search_calls,wall_time_s
0.0,100,21,0.21,beam.span.(hop0+(hop1+(hop2+(hop3+(hop4+(hop5+(hop6+(hop7+(hop8+hop9))))))))),1.0,1.0,10000.0,20,7,1.4913561344146729
0.001,100,21,0.21,beam.span.(hop0+(hop1+(hop2+(hop3+(hop4+(hop5+(hop6+(hop7+(hop8+hop9))))))))),0.9802513181022736,1.0,10000.0,20,7,40.54791212081909
0.002,100,21,0.21,beam.span.((hop0+(hop1+(hop2+(hop3+hop4))))+(hop5+(hop6+(hop7+(hop8+hop9))))),0.960997302193501,1.0,10000.0,20,7,38.02413606643677
0.003,100,21,0.21,beam.span.(hop0+(hop1+((hop2+(hop3+hop4))+(hop5+(hop6+(hop7+(hop8+hop9))))))),0.9422261984510539,1.0,10000.0,20,7,32.877256631851196
0.004,100,21,0.21,beam.span.(hop0+(hop1+((hop2+hop3)+((hop4+hop5)+(hop6+(hop7+(hop8+hop9))))))),0.9239265171700839,1.0,10000.0,20,7,31.657697916030884
0.005,100,21,0.21,beam.span.(hop0+(hop1+(hop2+(hop3+(hop4+(hop5+(hop6+(hop7+(hop8+hop9))))))))),0.9060870271702891,1.0,10000.0,20,7,42.08867168426514
0.006,100,28,0.28,beam.span.((hop0.n3.YY_ZX+hop1.n3.YY_ZX)+(hop2+(hop3+((hop4+(hop5+hop6))+(hop7+(hop8+hop9)))))),0.9023457537462788,0.9381286190700772,9381.286190700772,28,7,101.88922929763794
0.007,100,37,0.37,beam.span.((hop0.n3.YY_ZX+(hop1.n3.YY_ZX+(hop2.n3.YY_ZX+hop3.n3.YY_ZX)))+(hop4+(hop5+(hop6+(hop7+(hop8+hop9)))))),0.903193037894436,0.8615924928323418,8615.924928323418,36,7,132.32351779937744
0.008,100,40,0.4,link.n2.YY,0.9019795631516495,0.80881960190869,8088.1960190868995,40,7,65.81608748435974
0.009,100,46,0.46,beam.span.((hop0+(hop1.n2.YY+(hop2+hop3)))+(hop4.n3.ZX_YY+(hop5.n3.ZX_YY+(hop6.n3.ZX_YY+(hop7.n3.ZX_YY+(hop8.n3.ZX_YY+hop9.n3.ZX_YY)))))),0.9032465232744659,0.7327495753955289,7327.495753955289,46,7,65.7862639427185
0.01,100,50,0.5,beam.span.((hop0.n2.YY+(hop1+hop2))+(hop3.n3.ZX_YY+(hop4.n3.ZX_YY+(hop5.n3.ZX_YY+(hop6.n3.ZX_YY+(hop7.n3.ZX_YY+(hop8.n3.ZX_YY+hop9.n3.ZX_YY))))))),0.9046928819497215,0.671317509739292,6713.17509739292,50,7,58.97851800918579
