N,paper_e_max,min_feasible_e_max,ratio_to_paper,best_label,best_fidelity,best_success_prob,best_rate,best_cost,n_beam_search_calls,wall_time_s
10,100,60,0.6,end_optimistic.n3.YY_ZX,0.906317288623857,0.6195951122376533,6195.951122376533,60,7,79.17560911178589
12,120,73,0.6083333333333333,link.n3.YY_ZX,0.9222018382747689,0.5284742764946175,4403.952304121813,72,7,159.6970338821411
14,140,84,0.6,link.n3.YY_ZX,0.9104325021226221,0.47518329170155116,3394.166369296794,84,7,290.0865595340729
16,160,128,0.8,link.n4.YY_ZX_YY,0.9002582866227751,0.3094911314740176,1934.3195717126098,128,8,571.3848433494568
18,180,162,0.9,"beam.span.(pump[YY](hop0.n3.YY_ZX,hop0.n3.YY_ZX)+(pump[YY](hop1.n3.YY_ZX,hop1.n3.YY_ZX)+(pump[YY](hop2.n3.YY_ZX,hop2.n3.YY_ZX)+(pump[YY](hop3.n3.YY_ZX,hop3.n3.YY_ZX)+(pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+(pump[YY](hop5.n3.YY_ZX,hop5.n3.YY_ZX)+(pump[YY](hop6.n3.YY_ZX,hop6.n3.YY_ZX)+(pump[YY](hop7.n3.YY_ZX,hop7.n3.YY_ZX)+(pump[YY](hop8.n3.YY_ZX,hop8.n3.YY_ZX)+(pump[YY](hop9.n3.YY_ZX,hop9.n3.YY_ZX)+(pump[YY](hop10.n3.YY_ZX,hop10.n3.YY_ZX)+(pump[YY](hop11.n3.YY_ZX,hop11.n3.YY_ZX)+(hop12.n3.ZX_YY+(hop13.n2.YY+((hop14+hop15)+(hop16+hop17))))))))))))))))",0.9029914695234906,0.2185942017744603,1214.412232080335,162,8,915.7044885158539
20,200,187,0.935,"beam.span.(pump[YY](hop0.n3.YY_ZX,hop0.n3.YY_ZX)+(pump[YY](hop1.n3.YY_ZX,hop1.n3.YY_ZX)+(pump[YY](hop2.n3.YY_ZX,hop2.n3.YY_ZX)+(pump[YY](hop3.n3.YY_ZX,hop3.n3.YY_ZX)+(pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+(pump[YY](hop5.n3.YY_ZX,hop5.n3.YY_ZX)+(pump[YY](hop6.n3.YY_ZX,hop6.n3.YY_ZX)+(pump[YY](hop7.n3.YY_ZX,hop7.n3.YY_ZX)+(pump[YY](hop8.n3.YY_ZX,hop8.n3.YY_ZX)+(pump[YY](hop9.n3.YY_ZX,hop9.n3.YY_ZX)+(pump[YY](hop10.n3.YY_ZX,hop10.n3.YY_ZX)+(pump[YY](hop11.n3.YY_ZX,hop11.n3.YY_ZX)+(pump[YY](hop12.n3.YY_ZX,hop12.n3.YY_ZX)+(pump[YY](hop13.n3.YY_ZX,hop13.n3.YY_ZX)+(hop14.n3.ZX_YY+(hop15.n2.YY+((hop16+hop17)+(hop18+hop19))))))))))))))))))",0.9025918345861482,0.1719263340935515,859.6316704677575,186,8,1230.6656682491302
21,210,199,0.9476190476190476,"beam.span.(pump[YY](hop0.n3.YY_ZX,hop0.n3.YY_ZX)+(pump[YY](hop1.n3.YY_ZX,hop1.n3.YY_ZX)+(pump[YY](hop2.n3.YY_ZX,hop2.n3.YY_ZX)+(pump[YY](hop3.n3.YY_ZX,hop3.n3.YY_ZX)+(pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+(pump[YY](hop5.n3.YY_ZX,hop5.n3.YY_ZX)+(pump[YY](hop6.n3.YY_ZX,hop6.n3.YY_ZX)+(pump[YY](hop7.n3.YY_ZX,hop7.n3.YY_ZX)+(pump[YY](hop8.n3.YY_ZX,hop8.n3.YY_ZX)+(pump[YY](hop9.n3.YY_ZX,hop9.n3.YY_ZX)+(pump[YY](hop10.n3.YY_ZX,hop10.n3.YY_ZX)+(pump[YY](hop11.n3.YY_ZX,hop11.n3.YY_ZX)+(pump[YY](hop12.n3.YY_ZX,hop12.n3.YY_ZX)+(pump[YY](hop13.n3.YY_ZX,hop13.n3.YY_ZX)+(pump[YY](hop14.n3.YY_ZX,hop14.n3.YY_ZX)+(hop15.n3.ZX_YY+(hop16.n2.YY+((hop17+hop18)+(hop19+hop20)))))))))))))))))))",0.9023921327008623,0.15247347048201026,726.0641451524298,198,8,1223.4566097259521
22,220,211,0.9590909090909091,"beam.span.(pump[YY](hop0.n3.YY_ZX,hop0.n3.YY_ZX)+(pump[YY](hop1.n3.YY_ZX,hop1.n3.YY_ZX)+(pump[YY](hop2.n3.YY_ZX,hop2.n3.YY_ZX)+(pump[YY](hop3.n3.YY_ZX,hop3.n3.YY_ZX)+(pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+(pump[YY](hop5.n3.YY_ZX,hop5.n3.YY_ZX)+(pump[YY](hop6.n3.YY_ZX,hop6.n3.YY_ZX)+(pump[YY](hop7.n3.YY_ZX,hop7.n3.YY_ZX)+(pump[YY](hop8.n3.YY_ZX,hop8.n3.YY_ZX)+(pump[YY](hop9.n3.YY_ZX,hop9.n3.YY_ZX)+(pump[YY](hop10.n3.YY_ZX,hop10.n3.YY_ZX)+(pump[YY](hop11.n3.YY_ZX,hop11.n3.YY_ZX)+(pump[YY](hop12.n3.YY_ZX,hop12.n3.YY_ZX)+(pump[YY](hop13.n3.YY_ZX,hop13.n3.YY_ZX)+(pump[YY](hop14.n3.YY_ZX,hop14.n3.YY_ZX)+(pump[YY](hop15.n3.YY_ZX,hop15.n3.YY_ZX)+(hop16.n3.ZX_YY+(hop17.n2.YY+((hop18+hop19)+(hop20+hop21))))))))))))))))))))",0.9021925078283555,0.1352216303767534,614.6437744397881,210,8,1457.627453327179
23,230,222,0.9652173913043478,"beam.span.(pump[YY](hop0.n3.YY_ZX,hop0.n3.YY_ZX)+(pump[YY](hop1.n3.YY_ZX,hop1.n3.YY_ZX)+(pump[YY](hop2.n3.YY_ZX,hop2.n3.YY_ZX)+(pump[YY](hop3.n3.YY_ZX,hop3.n3.YY_ZX)+(pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+(pump[YY](hop5.n3.YY_ZX,hop5.n3.YY_ZX)+(pump[YY](hop6.n3.YY_ZX,hop6.n3.YY_ZX)+(pump[YY](hop7.n3.YY_ZX,hop7.n3.YY_ZX)+(pump[YY](hop8.n3.YY_ZX,hop8.n3.YY_ZX)+(pump[YY](hop9.n3.YY_ZX,hop9.n3.YY_ZX)+(pump[YY](hop10.n3.YY_ZX,hop10.n3.YY_ZX)+(pump[YY](hop11.n3.YY_ZX,hop11.n3.YY_ZX)+(pump[YY](hop12.n3.YY_ZX,hop12.n3.YY_ZX)+(pump[YY](hop13.n3.YY_ZX,hop13.n3.YY_ZX)+(pump[YY](hop14.n3.YY_ZX,hop14.n3.YY_ZX)+(pump[YY](hop15.n3.YY_ZX,hop15.n3.YY_ZX)+(pump[YY](hop16.n3.YY_ZX,hop16.n3.YY_ZX)+(hop17.n3.ZX_YY+(hop18.n2.YY+((hop19+hop20)+(hop21+hop22)))))))))))))))))))))",0.9019929599365372,0.1199217756632927,521.3990246230118,222,8,1713.3710851669312
24,240,234,0.975,"beam.span.(pump[YY](hop0.n3.YY_ZX,hop0.n3.YY_ZX)+(pump[YY](hop1.n3.YY_ZX,hop1.n3.YY_ZX)+(pump[YY](hop2.n3.YY_ZX,hop2.n3.YY_ZX)+(pump[YY](hop3.n3.YY_ZX,hop3.n3.YY_ZX)+(pump[YY](hop4.n3.YY_ZX,hop4.n3.YY_ZX)+(pump[YY](hop5.n3.YY_ZX,hop5.n3.YY_ZX)+(pump[YY](hop6.n3.YY_ZX,hop6.n3.YY_ZX)+(pump[YY](hop7.n3.YY_ZX,hop7.n3.YY_ZX)+(pump[YY](hop8.n3.YY_ZX,hop8.n3.YY_ZX)+(pump[YY](hop9.n3.YY_ZX,hop9.n3.YY_ZX)+(pump[YY](hop10.n3.YY_ZX,hop10.n3.YY_ZX)+(pump[YY](hop11.n3.YY_ZX,hop11.n3.YY_ZX)+(pump[YY](hop12.n3.YY_ZX,hop12.n3.YY_ZX)+(pump[YY](hop13.n3.YY_ZX,hop13.n3.YY_ZX)+(pump[YY](hop14.n3.YY_ZX,hop14.n3.YY_ZX)+(pump[YY](hop15.n3.YY_ZX,hop15.n3.YY_ZX)+(pump[YY](hop16.n3.YY_ZX,hop16.n3.YY_ZX)+(pump[YY](hop17.n3.YY_ZX,hop17.n3.YY_ZX)+(hop18.n3.ZX_YY+(hop19.n2.YY+((hop20+hop21)+(hop22+hop23))))))))))))))))))))))",0.9017934889933299,0.10635304601910386,443.1376917462661,234,8,2144.791358232498
